PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1752;3210;-2;1;0
0;2;0;0;1752;697;-2;2;1
0;3;0;0;1614;697;-2;3;2
0;4;0;0;1614;677;7;4;3
0;5;0;677;1614;20;-1;4;3
0;6;1614;0;138;697;-1;3;2
0;7;0;697;1752;610;-2;2;1
0;8;0;697;1752;610;0;3;7
0;9;0;1307;1752;1903;-2;2;1
0;10;0;1307;864;1903;-2;3;9
0;11;0;1307;864;1684;21;4;10
0;12;0;2991;864;219;-1;4;10
0;13;864;1307;824;1903;-2;3;9
0;14;864;1307;824;1609;14;4;13
0;15;864;2916;824;294;-1;4;13
0;16;1688;1307;64;1903;-1;3;9
0;17;1752;0;2166;3210;-2;1;0
0;18;1752;0;2166;1398;-2;2;17
0;19;1752;0;2166;1398;8;3;18
0;20;1752;1398;2166;1398;-2;2;17
0;21;1752;1398;2166;1398;9;3;20
0;22;1752;2796;2166;414;-2;2;17
0;23;1752;2796;1717;414;-2;3;22
0;24;1752;2796;1717;382;15;4;23
0;25;1752;3178;1717;32;-1;4;23
0;26;3469;2796;449;414;-1;3;22
0;27;3918;0;2082;3210;-2;1;0
0;28;3918;0;2082;382;-2;2;27
0;29;3918;0;1717;382;16;3;28
0;30;5635;0;365;382;-1;3;28
0;31;3918;382;2082;864;-2;2;27
0;32;3918;382;321;864;-2;3;31
0;33;3918;382;321;691;35;4;32
0;34;3918;1073;321;173;-1;4;32
0;35;4239;382;1684;864;22;3;31
0;36;5923;382;77;864;-1;3;31
0;37;3918;1246;2082;1964;-2;2;27
0;38;3918;1246;298;1964;-2;3;37
0;39;3918;1246;298;1929;1;4;38
0;40;3918;3175;298;35;-1;4;38
0;41;4216;1246;798;1964;-2;3;37
0;42;4216;1246;798;1929;2;4;41
0;43;4216;3175;798;35;-1;4;41
0;44;5014;1246;864;1964;-2;3;37
0;45;5014;1246;864;1684;23;4;44
0;46;5014;2930;864;280;-1;4;44
0;47;5878;1246;122;1964;-1;3;37
1;48;0;0;6000;3210;-2;0;
1;49;0;0;2013;3210;-2;1;48
1;50;0;0;2013;2128;-2;2;49
1;51;0;0;1259;2128;3;3;50
1;52;1259;0;728;2128;-2;3;50
1;53;1259;0;728;2058;10;4;52
1;54;1259;2058;728;70;-1;4;52
1;55;1987;0;26;2128;-1;3;50
1;56;0;2128;2013;1082;-2;2;49
1;57;0;2128;2013;1082;-2;3;56
1;58;0;2128;2013;947;17;4;57
1;59;0;3075;2013;135;-1;4;57
1;60;2013;0;2086;3210;-2;1;48
1;61;2013;0;2086;354;-2;2;60
1;62;2013;0;1905;354;11;3;61
1;63;3918;0;181;354;-1;3;61
1;64;2013;354;2086;947;-2;2;60
1;65;2013;354;2013;947;18;3;64
1;66;4026;354;73;947;-1;3;64
1;67;2013;1301;2086;992;-2;2;60
1;68;2013;1301;2053;992;19;3;67
1;69;4066;1301;33;992;-1;3;67
1;70;2013;2293;2086;917;-2;2;60
1;71;2013;2293;402;917;-2;3;70
1;72;2013;2293;402;843;36;4;71
1;73;2013;3136;402;74;-1;4;71
1;74;2415;2293;1684;917;-2;3;70
1;75;2415;2293;1684;864;24;4;74
1;76;2415;3157;1684;53;-1;4;74
1;77;4099;0;843;3210;-2;1;48
1;78;4099;0;843;386;-2;2;77
1;79;4099;0;584;386;-2;3;78
1;80;4099;0;584;296;4;4;79
1;81;4099;296;584;90;-1;4;79
1;82;4683;0;259;386;-1;3;78
1;83;4099;386;843;1905;-2;2;77
1;84;4099;386;822;1905;12;3;83
1;85;4921;386;21;1905;-1;3;83
1;86;4099;2291;843;919;-2;2;77
1;87;4099;2291;843;919;-2;3;86
1;88;4099;2291;843;821;28;4;87
1;89;4099;3112;843;98;-1;4;87
1;90;4942;0;1058;3210;-2;1;48
1;91;4942;0;1058;2053;-2;2;90
1;92;4942;0;992;2053;20;3;91
1;93;5934;0;66;2053;-1;3;91
1;94;4942;2053;1058;1157;-2;2;90
1;95;4942;2053;212;1157;-2;3;94
1;96;4942;2053;212;1096;25;4;95
1;97;4942;3149;212;61;-1;4;95
1;98;5154;2053;824;1157;-2;3;94
1;99;5154;2053;824;843;29;4;98
1;100;5154;2896;824;314;-1;4;98
1;101;5978;2053;22;1157;-1;3;94
2;102;0;0;6000;3210;-2;0;
2;103;0;0;1047;3210;-2;1;102
2;104;0;0;1047;565;-2;2;103
2;105;0;0;1009;565;-2;3;104
2;106;0;0;1009;402;30;4;105
2;107;0;402;1009;163;-1;4;105
2;108;1009;0;38;565;-1;3;104
2;109;0;565;1047;824;-2;2;103
2;110;0;565;1009;824;31;3;109
2;111;1009;565;38;824;-1;3;109
2;112;0;1389;1047;821;-2;2;103
2;113;0;1389;1027;821;32;3;112
2;114;1027;1389;20;821;-1;3;112
2;115;0;2210;1047;1000;-2;2;103
2;116;0;2210;1027;1000;-2;3;115
2;117;0;2210;1027;821;33;4;116
2;118;0;3031;1027;179;-1;4;116
2;119;1027;2210;20;1000;-1;3;115
2;120;1047;0;1684;3210;-2;1;102
2;121;1047;0;1684;1218;-2;2;120
2;122;1047;0;782;1218;-2;3;121
2;123;1047;0;782;1096;26;4;122
2;124;1047;1096;782;122;-1;4;122
2;125;1829;0;106;1218;-1;3;121
2;126;1935;0;677;1218;13;3;121
2;127;2612;0;119;1218;-1;3;121
2;128;1047;1218;1684;864;-2;2;120
2;129;1047;1218;1684;864;34;3;128
2;130;1047;2082;1684;496;-2;2;120
2;131;1047;2082;784;496;5;3;130
2;132;1831;2082;784;496;6;3;130
2;133;2615;2082;116;496;-1;3;130
2;134;1047;2578;1684;632;-2;2;120
2;135;1047;2578;26;632;-1;3;134
2;136;1073;2578;1609;632;-2;3;134
2;137;1073;2578;1609;604;27;4;136
2;138;1073;3182;1609;28;-1;4;136
2;139;2682;2578;49;632;-1;3;134
2;140;2731;0;3269;3210;-3;1;102
