PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1078;3210;-2;1;0
0;2;0;0;1078;1127;-2;2;1
0;3;0;0;804;1127;13;3;2
0;4;804;0;252;1127;-2;3;2
0;5;804;0;252;1019;0;4;4
0;6;804;1019;252;108;-1;4;4
0;7;1056;0;22;1127;-1;3;2
0;8;0;1127;1078;322;-2;2;1
0;9;0;1127;972;322;31;3;8
0;10;972;1127;106;322;-1;3;8
0;11;0;1449;1078;858;-2;2;1
0;12;0;1449;243;858;-2;3;11
0;13;0;1449;243;825;38;4;12
0;14;0;2274;243;33;-1;4;12
0;15;243;1449;815;858;45;3;11
0;16;1058;1449;20;858;-1;3;11
0;17;0;2307;1078;903;-2;2;1
0;18;0;2307;954;903;-2;3;17
0;19;0;2307;954;865;1;4;18
0;20;0;3172;954;38;-1;4;18
0;21;954;2307;124;903;-1;3;17
0;22;1078;0;1666;3210;-2;1;0
0;23;1078;0;1666;646;-2;2;22
0;24;1078;0;1592;646;7;3;23
0;25;2670;0;74;646;-1;3;23
0;26;1078;646;1666;450;-2;2;22
0;27;1078;646;776;450;-2;3;26
0;28;1078;646;776;430;14;4;27
0;29;1078;1076;776;20;-1;4;27
0;30;1854;646;865;450;-2;3;26
0;31;1854;646;865;416;2;4;30
0;32;1854;1062;865;34;-1;4;30
0;33;2719;646;25;450;-1;3;26
0;34;1078;1096;1666;954;-2;2;22
0;35;1078;1096;1395;954;20;3;34
0;36;2473;1096;195;954;-2;3;34
0;37;2473;1096;195;737;15;4;36
0;38;2473;1833;195;217;-1;4;36
0;39;2668;1096;76;954;-1;3;34
0;40;1078;2050;1666;1160;-2;2;22
0;41;1078;2050;1420;1160;-2;3;40
0;42;1078;2050;1420;1108;46;4;41
0;43;1078;3158;1420;52;-1;4;41
0;44;2498;2050;246;1160;-2;3;40
0;45;2498;2050;246;762;8;4;44
0;46;2498;2812;246;398;-1;4;44
0;47;2744;0;940;3210;-2;1;0
0;48;2744;0;940;2155;-2;2;47
0;49;2744;0;940;2155;9;3;48
0;50;2744;2155;940;1055;-2;2;47
0;51;2744;2155;296;1055;-2;3;50
0;52;2744;2155;296;856;39;4;51
0;53;2744;3011;296;199;-1;4;51
0;54;3040;2155;587;1055;-2;3;50
0;55;3040;2155;587;1022;32;4;54
0;56;3040;3177;587;33;-1;4;54
0;57;3627;2155;57;1055;-1;3;50
0;58;3684;0;1274;3210;-2;1;0
0;59;3684;0;1274;354;-2;2;58
0;60;3684;0;1117;354;33;3;59
0;61;4801;0;157;354;-1;3;59
0;62;3684;354;1274;906;-2;2;58
0;63;3684;354;791;906;-2;3;62
0;64;3684;354;791;885;21;4;63
0;65;3684;1239;791;21;-1;4;63
0;66;4475;354;441;906;-2;3;62
0;67;4475;354;441;886;40;4;66
0;68;4475;1240;441;20;-1;4;66
0;69;4916;354;42;906;-1;3;62
0;70;3684;1260;1274;790;-2;2;58
0;71;3684;1260;1189;790;3;3;70
0;72;4873;1260;85;790;-1;3;70
0;73;3684;2050;1274;1160;-2;2;58
0;74;3684;2050;332;1160;-2;3;73
0;75;3684;2050;332;947;41;4;74
0;76;3684;2997;332;213;-1;4;74
0;77;4016;2050;316;1160;-2;3;73
0;78;4016;2050;316;1106;16;4;77
0;79;4016;3156;316;54;-1;4;77
0;80;4332;2050;316;1160;-2;3;73
0;81;4332;2050;316;1106;17;4;80
0;82;4332;3156;316;54;-1;4;80
0;83;4648;2050;310;1160;-2;3;73
0;84;4648;2050;310;1009;10;4;83
0;85;4648;3059;310;151;-1;4;83
0;86;4958;0;1042;3210;-2;1;0
0;87;4958;0;1042;1261;-2;2;86
0;88;4958;0;195;1261;18;3;87
0;89;5153;0;805;1261;-2;3;87
0;90;5153;0;805;1187;19;4;89
0;91;5153;1187;805;74;-1;4;89
0;92;5958;0;42;1261;-1;3;87
0;93;4958;1261;1042;1117;-2;2;86
0;94;4958;1261;354;1117;34;3;93
0;95;5312;1261;332;1117;-2;3;93
0;96;5312;1261;332;947;42;4;95
0;97;5312;2208;332;170;-1;4;95
0;98;5644;1261;310;1117;-2;3;93
0;99;5644;1261;310;1009;11;4;98
0;100;5644;2270;310;108;-1;4;98
0;101;5954;1261;46;1117;-1;3;93
0;102;4958;2378;1042;832;-2;2;86
0;103;4958;2378;1019;832;-2;3;102
0;104;4958;2378;1019;790;12;4;103
0;105;4958;3168;1019;42;-1;4;103
0;106;5977;2378;23;832;-1;3;102
1;107;0;0;6000;3210;-2;0;
1;108;0;0;559;3210;-2;1;107
1;109;0;0;559;1605;-2;2;108
1;110;0;0;559;1605;22;3;109
1;111;0;1605;559;1605;-2;2;108
1;112;0;1605;559;1605;23;3;111
1;113;559;0;1746;3210;-2;1;107
1;114;559;0;1746;1224;-2;2;113
1;115;559;0;782;1224;-2;3;114
1;116;559;0;782;1182;43;4;115
1;117;559;1182;782;42;-1;4;115
1;118;1341;0;222;1224;-2;3;114
1;119;1341;0;222;1189;4;4;118
1;120;1341;1189;222;35;-1;4;118
1;121;1563;0;696;1224;5;3;114
1;122;2259;0;46;1224;-1;3;114
1;123;559;1224;1746;1986;-2;2;113
1;124;559;1224;800;1986;-2;3;123
1;125;559;1224;800;1936;35;4;124
1;126;559;3160;800;50;-1;4;124
1;127;1359;1224;559;1986;-2;3;123
1;128;1359;1224;559;1605;24;4;127
1;129;1359;2829;559;381;-1;4;127
1;130;1918;1224;387;1986;-2;3;123
1;131;1918;1224;387;1901;27;4;130
1;132;1918;3125;387;85;-1;4;130
1;133;2305;0;479;3210;-2;1;107
1;134;2305;0;479;480;-2;2;133
1;135;2305;0;427;480;25;3;134
1;136;2732;0;52;480;-1;3;134
1;137;2305;480;479;2730;-2;2;133
1;138;2305;480;247;2730;-2;3;137
1;139;2305;480;247;2039;47;4;138
1;140;2305;2519;247;691;-1;4;138
1;141;2552;480;232;2730;-2;3;137
1;142;2552;480;232;2303;48;4;141
1;143;2552;2783;232;427;-1;4;141
1;144;2784;0;387;3210;-2;1;107
1;145;2784;0;387;1027;-2;2;144
1;146;2784;0;329;1027;36;3;145
1;147;3113;0;58;1027;-1;3;145
1;148;2784;1027;387;2183;-2;2;144
1;149;2784;1027;387;2183;-2;3;148
1;150;2784;1027;387;1901;28;4;149
1;151;2784;2928;387;282;-1;4;149
1;152;3171;0;722;3210;-2;1;107
1;153;3171;0;722;952;-2;2;152
1;154;3171;0;33;952;-1;3;153
1;155;3204;0;257;952;26;3;153
1;156;3461;0;361;952;-2;3;153
1;157;3461;0;361;868;29;4;156
1;158;3461;868;361;84;-1;4;156
1;159;3822;0;71;952;-1;3;153
1;160;3171;952;722;342;-2;2;152
1;161;3171;952;722;342;6;3;160
1;162;3171;1294;722;1027;-2;2;152
1;163;3171;1294;322;1027;-2;3;162
1;164;3171;1294;322;972;44;4;163
1;165;3171;2266;322;55;-1;4;163
1;166;3493;1294;329;1027;37;3;162
1;167;3822;1294;71;1027;-1;3;162
1;168;3171;2321;722;889;-2;2;152
1;169;3171;2321;303;889;-2;3;168
1;170;3171;2321;303;859;49;4;169
1;171;3171;3180;303;30;-1;4;169
1;172;3474;2321;24;889;-1;3;168
1;173;3498;2321;361;889;-2;3;168
1;174;3498;2321;361;868;30;4;173
1;175;3498;3189;361;21;-1;4;173
1;176;3859;2321;34;889;-1;3;168
1;177;3893;0;2107;3210;-3;1;107
