PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1351;3210;-2;1;0
0;2;0;0;1351;1023;-2;2;1
0;3;0;0;1351;1023;102;3;2
0;4;0;1023;1351;597;-2;2;1
0;5;0;1023;1079;597;119;3;4
0;6;1079;1023;272;597;-1;3;4
0;7;0;1620;1351;1590;-2;2;1
0;8;0;1620;313;1590;-1;3;7
0;9;313;1620;988;1590;-2;3;7
0;10;313;1620;988;1519;0;4;9
0;11;313;3139;988;71;-1;4;9
0;12;1301;1620;50;1590;-1;3;7
0;13;1351;0;2040;3210;-2;1;0
0;14;1351;0;2040;1777;-2;2;13
0;15;1351;0;1083;1777;-2;3;14
0;16;1351;0;1083;1519;1;4;15
0;17;1351;1519;1083;258;-1;4;15
0;18;2434;0;933;1777;187;3;14
0;19;3367;0;24;1777;-1;3;14
0;20;1351;1777;2040;1433;-2;2;13
0;21;1351;1777;1017;1433;-2;3;20
0;22;1351;1777;1017;1019;170;4;21
0;23;1351;2796;1017;414;-1;4;21
0;24;2368;1777;1023;1433;-2;3;20
0;25;2368;1777;1023;1351;103;4;24
0;26;2368;3128;1023;82;-1;4;24
0;27;3391;0;1119;3210;-2;1;0
0;28;3391;0;1119;1877;-2;2;27
0;29;3391;0;1083;1877;2;3;28
0;30;4474;0;36;1877;-1;3;28
0;31;3391;1877;1119;597;-2;2;27
0;32;3391;1877;1079;597;120;3;31
0;33;4470;1877;40;597;-1;3;31
0;34;3391;2474;1119;736;-2;2;27
0;35;3391;2474;1119;736;-2;3;34
0;36;3391;2474;1119;597;121;4;35
0;37;3391;3071;1119;139;-1;4;35
0;38;4510;0;1490;3210;-2;1;0
0;39;4510;0;1490;1200;-2;2;38
0;40;4510;0;1289;1200;-2;3;39
0;41;4510;0;1289;1053;85;4;40
0;42;4510;1053;1289;147;-1;4;40
0;43;5799;0;201;1200;-1;3;39
0;44;4510;1200;1490;1096;-2;2;38
0;45;4510;1200;1177;1096;68;3;44
0;46;5687;1200;313;1096;-1;3;44
0;47;4510;2296;1490;914;-2;2;38
0;48;4510;2296;1469;914;-2;3;47
0;49;4510;2296;1469;836;204;4;48
0;50;4510;3132;1469;78;-1;4;48
0;51;5979;2296;21;914;-1;3;47
1;52;0;0;6000;3210;-2;0;
1;53;0;0;933;3210;-2;1;52
1;54;0;0;933;1777;-2;2;53
1;55;0;0;933;1777;188;3;54
1;56;0;1777;933;1433;-2;2;53
1;57;0;1777;821;1433;-2;3;56
1;58;0;1777;821;1390;153;4;57
1;59;0;3167;821;43;-1;4;57
1;60;821;1777;112;1433;-1;3;56
1;61;933;0;2207;3210;-2;1;52
1;62;933;0;2207;1350;-2;2;61
1;63;933;0;2177;1350;69;3;62
1;64;3110;0;30;1350;-1;3;62
1;65;933;1350;2207;979;-2;2;61
1;66;933;1350;2207;979;34;3;65
1;67;933;2329;2207;881;-2;2;61
1;68;933;2329;20;881;-1;3;67
1;69;953;2329;2047;881;-2;3;67
1;70;953;2329;2047;860;86;4;69
1;71;953;3189;2047;21;-1;4;69
1;72;3000;2329;140;881;-1;3;67
1;73;3140;0;2860;3210;-2;1;52
1;74;3140;0;2860;887;-2;2;73
1;75;3140;0;1025;887;171;3;74
1;76;4165;0;348;887;-1;3;74
