ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;922;2433;0;1
1;644;1759;0;2
2;1479;2456;1;1
3;1648;2706;1;2
4;2871;562;1;3
5;1344;2454;1;4
6;418;2235;1;5
7;1748;748;1;6
8;1886;1253;2;1
9;1826;935;2;2
10;3042;2617;2;3
11;2765;2853;2;4
12;3037;635;2;5
13;2565;2998;3;1
14;1987;1718;3;2
15;2953;641;4;1
16;487;1279;4;2
17;190;212;4;3
18;683;2313;4;4
19;2675;3419;4;5
20;838;3047;5;1
21;702;3331;6;1
22;2759;1039;6;2
23;1458;1985;6;3
24;563;2363;7;1
25;2819;913;8;1
26;3141;2105;8;2
27;1852;271;8;3
28;507;2889;8;4
29;1393;602;8;5
30;1111;1400;8;6
31;2981;1854;9;1
32;2872;966;9;2
33;1901;312;9;3
34;132;1690;9;4
35;1066;1643;9;5
36;246;1931;10;1
37;2215;2199;10;2
38;132;1897;10;3
39;1319;365;10;4
40;400;1323;11;1
41;759;1801;11;2
42;2536;3442;11;3
43;3162;3150;11;4
44;1777;1858;11;5
45;3075;2878;12;1
46;2276;1341;13;1
47;1211;194;13;2
48;260;646;13;3
49;929;1301;14;1
50;2293;2824;14;2
51;1654;2090;14;3
52;3198;1043;14;4
53;2540;2850;14;5
54;1230;2374;15;1
55;2237;1689;15;2
56;1879;369;16;1
57;3146;2558;16;2
58;995;2501;16;3
59;3334;872;17;1
60;3367;154;17;2
61;3426;289;17;3
62;2430;2649;18;1
63;2322;403;18;2
64;120;1394;18;3
65;1096;2810;18;4
66;1433;3329;18;5
67;570;592;18;6
68;3114;1005;19;1
69;1863;1326;20;1
70;2346;1340;20;2
71;868;2489;20;3
72;551;1977;21;1
73;1984;2902;21;2
74;1727;359;21;3
75;606;2016;21;4
76;486;1000;22;1
77;95;1060;22;2
78;1226;1766;22;3
79;1772;2463;22;4
80;1228;1019;22;5
81;3049;866;23;1
82;1417;2942;23;2
83;3400;2916;24;1
84;2764;1513;25;1
85;730;1372;25;2
86;1519;2717;26;1
87;2718;2496;26;2
88;1564;2092;27;1
89;2963;2249;28;1
90;330;2533;28;2
91;50;2895;28;3
92;1091;2224;28;4
93;1753;664;29;1
94;2056;2208;29;2
95;97;1522;30;1
96;3007;2921;31;1
97;3348;2167;31;2
98;989;3491;31;3
99;2253;2045;32;1
100;769;465;32;2
101;3009;782;32;3
102;2582;292;32;4
103;1982;1931;33;1
104;1726;3336;33;2
105;2544;2177;33;3
106;546;1347;34;1
107;2777;2834;34;2
108;549;1535;34;3
109;2547;2555;34;4
110;902;1893;34;5
111;3499;3098;35;1
112;1559;2350;35;2
113;756;1728;35;3
114;2380;728;35;4
115;1318;1968;36;1
116;2880;1680;36;2
117;847;3330;36;3
118;2055;3489;36;4
119;2215;3199;37;1
120;3336;3095;37;2
121;990;521;37;3
122;2701;1874;37;4
123;558;791;37;5
124;1498;342;38;1
125;1774;1062;38;2
126;582;3390;38;3
127;2472;2148;39;1
128;84;1794;40;1
129;2703;1908;41;1
130;1003;2128;41;2
131;2521;2020;41;3
132;364;3189;41;4
133;2223;2935;41;5
134;1704;1572;41;6
135;1455;2096;42;1
136;427;1039;42;2
137;3472;479;42;3
138;533;535;42;4
139;1956;2157;42;5
140;201;2910;43;1
141;2366;1783;43;2
142;3334;2419;43;3
143;1727;2875;43;4
144;333;1818;44;1
145;1085;600;44;2
146;215;1862;44;3
147;2294;1233;45;1
148;1766;2551;45;2
149;3185;888;45;3
150;2221;1218;45;4
151;1788;319;46;1
152;2506;251;46;2
153;3359;706;46;3
154;2134;1825;46;4
155;2767;3367;47;1
156;3335;1172;48;1
157;1375;342;48;2
158;2266;3377;48;3
159;2874;1604;48;4
160;262;1456;48;5
161;1082;3340;48;6
162;1445;1335;49;1
163;1611;3388;49;2
164;2993;792;49;3
165;2163;1616;49;4
166;201;436;49;5
167;2407;158;50;1
168;998;3109;51;1
169;3408;2467;51;2
170;3092;2732;52;1
171;2151;2322;52;2
172;1201;107;52;3
173;3467;1435;52;4
174;1101;973;52;5
175;3338;2820;53;1
176;260;2636;53;2
177;462;615;53;3
178;1235;1275;53;4
179;387;32;53;5
