DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;0;0;280;4;1
1;0;3506;3204;4;6
2;0;1519;3194;8;16
3;0;0;1770;10;6
4;0;5997;2690;3;3
5;0;0;2037;11;8
6;0;5996;2405;4;12
7;0;5984;196;16;1
8;0;5988;998;12;3
9;1;3097;3197;13;13
10;1;1662;0;1;14
11;2;3306;1284;19;7
12;2;5990;2977;10;7
13;2;5997;1229;3;14
14;2;2072;3190;10;20
15;2;3666;2612;8;16
16;3;3152;1545;1;19
17;3;0;1350;19;9
18;3;4160;3194;10;16
19;3;5988;511;12;3
20;3;5311;2544;11;3
21;4;2226;1263;12;5
22;4;0;156;10;14
23;4;2617;3206;20;4
24;4;1714;3195;2;15
25;4;4377;3204;12;6
26;4;5889;0;4;8
27;4;422;1769;8;6
28;4;4757;3194;2;16
29;4;0;2386;12;16
30;4;5984;2805;16;13
31;4;0;858;1;12
32;5;0;105;16;2
33;5;2324;3190;19;20
34;5;4845;3198;7;12
35;5;4672;0;15;3
36;5;5988;2211;12;17
37;5;0;1262;15;18
38;5;739;1223;12;7
39;5;1612;0;14;18
40;5;3678;0;17;12
41;5;5982;3140;18;14
42;5;1651;0;5;15
43;5;3279;0;17;3
44;5;5997;19;3;15
45;5;5984;1751;16;7
46;5;2831;312;8;12
47;5;0;2300;11;4
48;6;1885;2049;18;12
49;6;2292;3198;5;12
50;6;4056;2068;7;10
51;6;5990;3007;10;6
52;6;1250;2631;17;9
53;6;5990;1898;10;20
54;6;5997;894;3;9
55;6;1731;3209;5;1
56;6;4555;3205;17;5
57;6;3835;714;12;6
58;6;3219;3208;16;2
59;6;0;2861;17;19
60;6;5987;2096;13;11
61;6;3572;3201;5;9
62;6;5980;2104;20;5
63;6;4344;501;1;1
64;6;5394;332;15;12
65;6;0;1175;8;19
66;7;5694;3207;10;3
67;7;0;376;7;12
68;7;0;270;15;13
69;7;5993;693;7;9
70;7;0;1183;8;19
71;7;5323;0;18;11
72;7;2144;3186;10;10
73;7;0;336;11;18
74;7;1592;0;7;2
75;8;415;1430;20;19
76;8;3503;3198;11;12
77;8;5998;876;2;7
78;8;3096;985;12;1
79;8;5130;3193;2;17
80;8;1807;2299;3;18
81;8;5982;616;18;3
82;8;5001;2100;14;1
83;8;5989;1734;11;14
84;8;4944;0;11;19
85;8;5997;1738;3;2
86;8;108;0;20;15
87;8;1455;3205;3;5
88;8;162;2255;14;3
89;8;5999;408;1;19
90;9;5989;2999;11;15
91;9;0;372;19;9
92;9;0;1298;10;17
93;9;0;492;3;6
94;9;5981;2365;19;15
95;9;352;0;9;8
96;9;5981;1064;19;13
97;9;5989;1517;11;7
98;9;5584;0;10;19
99;9;5981;2800;19;19
100;9;4371;3200;13;10
101;10;0;1649;19;16
102;10;474;0;17;12
103;10;1281;3198;9;12
104;10;5981;1541;19;20
105;10;2897;3204;18;6
106;11;5987;393;13;19
107;11;5982;2782;18;9
108;11;5989;1027;11;11
109;11;4150;0;2;2
110;11;3811;3197;5;13
111;11;1363;2432;3;18
112;11;2496;0;20;7
113;11;5983;2709;17;20
114;11;538;1107;3;18
115;11;5585;0;2;8
116;11;0;241;17;8
117;11;2297;0;12;1
118;11;4740;0;20;14
119;13;5999;258;1;13
120;13;3553;1612;11;12
121;13;5983;1613;17;9
122;14;5995;213;5;12
123;15;391;0;11;8
124;15;0;2079;12;11
125;15;510;3191;2;19
126;15;5991;2064;9;9
127;15;1773;0;18;4
128;15;5989;904;11;11
129;15;2226;0;20;19
130;15;571;319;6;12
131;15;1804;1080;1;7
132;17;5067;60;7;2
133;17;1178;0;5;2
134;17;0;1185;20;19
135;17;5989;1394;11;16
136;17;5456;0;1;1
137;17;1690;3204;1;6
138;17;0;1085;7;20
139;17;2740;3199;11;11
140;18;724;0;9;19
141;18;3540;2386;1;13
142;18;5994;2654;6;1
143;18;443;357;3;3
144;18;1772;3208;20;2
145;18;0;1245;6;11
146;18;250;0;3;9
147;18;0;2257;18;14
148;18;5988;1098;12;14
149;18;5995;2910;5;9
150;19;5266;558;18;20
151;19;199;407;15;20
152;20;4071;3196;5;14
153;20;5876;0;19;5
154;20;5993;2770;7;12
155;20;5985;2064;15;1
156;20;2376;545;10;6
157;20;0;1320;2;4
158;20;1585;749;2;17
159;20;5990;1120;10;5
160;21;796;0;8;19
161;21;5996;2441;4;12
162;21;4946;557;1;6
163;21;344;754;18;9
164;21;2105;2113;1;2
165;21;2184;0;14;16
166;21;3244;3195;2;15
